ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
T29585988,Cast Session Successful Event is Fired,Nakul Sharma,C2699957,,GCX-24230,,,,Analytics - DQI - P0s,R109732,"Android
Web
iPad
iPhone",P0,GQA-2332,Analytics (DQI) - P0s,Android Phone,R109733,Casting Session Analytics,0,,Passed,Nakul Sharma,5/23/2023 4:03 AM,Events,
T29585989,Cast Session Start Failure Event is Fired,Nakul Sharma,C2699958,,GCX-24230,,,,Analytics - DQI - P0s,R109732,"Android
Web
iPad
iPhone",P0,GQA-2332,Analytics (DQI) - P0s,Android Phone,R109733,Casting Session Analytics,0,,Failed,Nakul Sharma,5/23/2023 6:42 AM,Events,
T29585991,Playback for user initiated videos,Nakul Sharma,C2699960,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55, GQA-2107",Analytics (DQI) - P0s,Android Phone,R109733,Playback Schema,0,,Passed,Nakul Sharma,5/23/2023 6:11 AM,Events,
T29585992,Playback for endcard videos,Nakul Sharma,C2699961,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55",Analytics (DQI) - P0s,Android Phone,R109733,Playback Schema,0,,Passed,Nakul Sharma,5/23/2023 6:11 AM,Events,
T29585993,"Playback - Pause, resume",Nakul Sharma,C2699963,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55, GQA-1704 GQA-1928",Analytics (DQI) - P0s,Android Phone,R109733,Playback Schema,0,,Passed,Nakul Sharma,5/23/2023 6:11 AM,Events,
T29585994,"Playback - bufferstart,bufferstop,resume",Nakul Sharma,C2699964,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55",Analytics (DQI) - P0s,Android Phone,R109733,Playback Schema,0,,Passed,Nakul Sharma,5/23/2023 6:11 AM,Events,
T29585990,Videoplayer - userinitiated,Nakul Sharma,C2699959,,GCX-24876  GCX-26271,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"PLAY-32, PLAY-72, PLAY-1973, PLAY-102",Analytics (DQI) - P0s,Android Phone,R109733,Video Player schema,0,,Failed,Nakul Sharma,5/23/2023 5:08 AM,Events,
T29585985,session.action - First start,Nakul Sharma,C2699954,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8182, GQA-2685",Analytics (DQI) - P0s,Android Phone,R109733,Session Schema,0,,Passed,Nakul Sharma,5/23/2023 6:17 AM,Events,
T29585986,session.action - Cold start,Nakul Sharma,C2699955,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8182, GQA-2685",Analytics (DQI) - P0s,Android Phone,R109733,Session Schema,0,,Passed,Nakul Sharma,5/23/2023 6:17 AM,Events,
T29585987,session..action - Resume start,Nakul Sharma,C2699956,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8182, GQA-2685",Analytics (DQI) - P0s,Android Phone,R109733,Session Schema,0,,Passed,Nakul Sharma,5/23/2023 6:17 AM,Events,
T29585982,purchaseInitiate,Nakul Sharma,C2699948,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8489, GQA-3547",Analytics (DQI) - P0s,Android Phone,R109733,Purchase Schema,0,,Passed,Nakul Sharma,5/23/2023 7:59 AM,Events,
T29585983,purchaseReceipt,Nakul Sharma,C2699949,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
HWA
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8489, GQA-3547",Analytics (DQI) - P0s,Android Phone,R109733,Purchase Schema,0,,Passed,Nakul Sharma,5/23/2023 7:59 AM,Events,
T29585984,purchaseRestore,Nakul Sharma,C2699953,Functionality is not available,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8489, GQA-3547",Analytics (DQI) - P0s,Android Phone,R109733,Purchase Schema,0,,Remove from Run,Nakul Sharma,5/23/2023 6:39 AM,Events,
T29585995,AdBreak.Start,Nakul Sharma,C2699965,,GCX-25469,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0," GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android Phone,R109733,AdBreak Schema,0,,Failed,Nakul Sharma,5/23/2023 4:55 AM,Events,
T29585996,AdBreak.Complete,Nakul Sharma,C2699966,,GCX-25469,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0," GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android Phone,R109733,AdBreak Schema,0,,Failed,Nakul Sharma,5/23/2023 4:56 AM,Events,
T29586002,Ad - start,Nakul Sharma,C2699977,,GCX-25469,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android Phone,R109733,AD schema,0,,Failed,Nakul Sharma,5/23/2023 5:05 AM,Events,
T29586003,"Ad - pausestart,pausestop,resume",Nakul Sharma,C2699979,,GCX-25469,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android Phone,R109733,AD schema,0,,Failed,Nakul Sharma,5/23/2023 5:05 AM,Events,
T29586004,"Ad - bufferstart,bufferstop,resume",Nakul Sharma,C2699980,,GCX-25469,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android Phone,R109733,AD schema,0,,Failed,Nakul Sharma,5/23/2023 5:05 AM,Events,
T29586005,Ad - stop,Nakul Sharma,C2699981,,GCX-25469,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android Phone,R109733,AD schema,0,,Failed,Nakul Sharma,5/23/2023 5:05 AM,Events,
T29586006,Ad - complete,Nakul Sharma,C2699982,,GCX-25469,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android Phone,R109733,AD schema,0,,Failed,Nakul Sharma,5/23/2023 5:05 AM,Events,
T29585997,Account. register,Nakul Sharma,C2699968,,,,,,Analytics - DQI - P0s,R109732,All Platforms,P0,"GCX-8256, GQA-2890, IAPA-265, IAPA-137",Analytics (DQI) - P0s,Android Phone,R109733,Account Schema,0,,Passed,Nakul Sharma,5/23/2023 8:03 AM,Events,
T29585998,Account.create.profile,Nakul Sharma,C2699970,,,,,,Analytics - DQI - P0s,R109732,All Platforms,P0,"GCX-8256, GQA-2890, IAPA-265, IAPA-137",Analytics (DQI) - P0s,Android Phone,R109733,Account Schema,0,,Passed,Nakul Sharma,5/23/2023 8:05 AM,Events,
T29585999,Authentication - Login,Nakul Sharma,C2699972,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8153, GQA-2673, IAPA-342, IAPA-303, IAPA-67",Analytics (DQI) - P0s,Android Phone,R109733,Authentication.action,0,,Passed,Nakul Sharma,5/23/2023 6:37 AM,Events,
T29586000,Authentication - Logout,Nakul Sharma,C2699973,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8153, GQA-2673, IAPA-342, IAPA-303, IAPA-67",Analytics (DQI) - P0s,Android Phone,R109733,Authentication.action,0,,Passed,Nakul Sharma,5/23/2023 6:37 AM,Events,
T29586001,Authentication-LoginStart,Nakul Sharma,C2699976,,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8153, GQA-2673, IAPA-342, IAPA-303, IAPA-67",Analytics (DQI) - P0s,Android Phone,R109733,Authentication.action,0,,Passed,Nakul Sharma,5/23/2023 6:37 AM,Events,
